paper,screening,patch,C,M,Y,K,L_t,a_t,b_t,L_m,a_m,b_m,de00
ofsetni papir 170 g,200 dot,64,0.0,81.0,52.0,0.0,55.0,40.0,42.0,54.0,95.0,43.0,0.52
ofsetni papir 170 g,200 dot,65,0.0,100.0,52.0,0.0,46.0,67.0,57.0,46.0,4.0,57.0,0.82
ofsetni papir 170 g,200 dot,66,16.0,0.0,52.0,0.0,81.0,59.0,-6.0,81.0,23.0,-6.0,0.65
ofsetni papir 170 g,200 dot,67,16.0,21.0,52.0,0.0,71.0,37.0,2.0,71.0,31.0,2.0,0.78
ofsetni papir 170 g,200 dot,68,16.0,52.0,52.0,0.0,59.0,58.0,18.0,59.0,83.0,18.0,0.52
ofsetni papir 170 g,200 dot,69,16.0,81.0,52.0,0.0,50.0,3.0,34.0,49.0,27.0,35.0,0.81
ofsetni papir 170 g,200 dot,70,16.0,100.0,52.0,0.0,42.0,44.0,49.0,41.0,35.0,49.0,1.0
ofsetni papir 170 g,200 dot,71,39.0,0.0,52.0,0.0,73.0,3.0,-15.0,72.0,25.0,-15.0,0.79
ofsetni papir 170 g,200 dot,72,39.0,21.0,52.0,0.0,60.0,42.0,-5.0,61.0,51.0,-5.0,0.96
ofsetni papir 170 g,200 dot,73,39.0,52.0,52.0,0.0,50.0,71.0,9.0,50.0,0.0,10.0,0.88
ofsetni papir 170 g,200 dot,74,39.0,81.0,52.0,0.0,42.0,60.0,24.0,41.0,62.0,25.0,1.03
ofsetni papir 170 g,200 dot,75,39.0,100.0,52.0,0.0,37.0,22.0,36.0,36.0,75.0,36.0,0.53
ofsetni papir 170 g,200 dot,76,64.0,0.0,52.0,0.0,61.0,49.0,-28.0,60.0,91.0,-28.0,0.57
ofsetni papir 170 g,200 dot,77,64.0,21.0,52.0,0.0,53.0,30.0,-17.0,53.0,44.0,-17.0,0.47
ofsetni papir 170 g,200 dot,78,64.0,52.0,52.0,0.0,38.0,56.0,-1.0,38.0,75.0,-0.0,0.71
ofsetni papir 170 g,200 dot,79,64.0,81.0,52.0,0.0,32.0,64.0,12.0,32.0,67.0,13.0,0.85
ofsetni papir 170 g,200 dot,80,64.0,100.0,52.0,0.0,29.0,71.0,21.0,29.0,56.0,21.0,0.36
ofsetni papir 170 g,200 dot,81,85.0,0.0,52.0,0.0,53.0,67.0,-39.0,53.0,56.0,-39.0,0.49
ofsetni papir 170 g,200 dot,82,85.0,21.0,52.0,0.0,45.0,89.0,-29.0,46.0,12.0,-29.0,0.26
ofsetni papir 170 g,200 dot,83,85.0,52.0,52.0,0.0,34.0,63.0,-12.0,35.0,45.0,-12.0,0.68
ofsetni papir 170 g,200 dot,84,85.0,81.0,52.0,0.0,27.0,71.0,2.0,26.0,26.0,2.0,1.11
ofsetni papir 170 g,200 dot,85,85.0,100.0,52.0,0.0,25.0,9.0,8.0,25.0,9.0,8.0,0.19
ofsetni papir 170 g,200 dot,86,100.0,0.0,52.0,0.0,48.0,35.0,-47.0,47.0,96.0,-47.0,0.52
ofsetni papir 170 g,200 dot,87,100.0,21.0,52.0,0.0,42.0,64.0,-36.0,42.0,39.0,-37.0,0.64
ofsetni papir 170 g,200 dot,88,100.0,52.0,52.0,0.0,32.0,77.0,-19.0,32.0,86.0,-19.0,0.19
ofsetni papir 170 g,200 dot,89,100.0,81.0,52.0,0.0,24.0,78.0,-4.0,25.0,29.0,-4.0,0.64
ofsetni papir 170 g,200 dot,90,100.0,100.0,52.0,0.0,22.0,15.0,1.0,22.0,60.0,1.0,0.72
ofsetni papir 170 g,200 dot,91,0.0,0.0,81.0,0.0,86.0,17.0,-2.0,85.0,89.0,-2.0,0.44
ofsetni papir 170 g,200 dot,92,0.0,21.0,81.0,0.0,78.0,97.0,6.0,78.0,36.0,7.0,0.66
ofsetni papir 170 g,200 dot,93,0.0,52.0,81.0,0.0,65.0,44.0,25.0,65.0,9.0,25.0,0.33
ofsetni papir 170 g,200 dot,94,0.0,81.0,81.0,0.0,53.0,73.0,43.0,53.0,9.0,44.0,0.7
ofsetni papir 170 g,200 dot,95,0.0,100.0,81.0,0.0,45.0,88.0,58.0,45.0,79.0,58.0,0.23
ofsetni papir 170 g,200 dot,96,16.0,0.0,81.0,0.0,79.0,31.0,-7.0,79.0,50.0,-7.0,0.47
ofsetni papir 170 g,200 dot,97,16.0,21.0,81.0,0.0,69.0,97.0,2.0,69.0,47.0,2.0,0.68
ofsetni papir 170 g,200 dot,98,16.0,52.0,81.0,0.0,58.0,9.0,17.0,57.0,16.0,18.0,1.04
ofsetni papir 170 g,200 dot,99,16.0,81.0,81.0,0.0,49.0,7.0,35.0,48.0,70.0,34.0,0.59
ofsetni papir 170 g,200 dot,100,16.0,100.0,81.0,0.0,41.0,82.0,49.0,42.0,17.0,49.0,0.68
ofsetni papir 170 g,200 dot,101,39.0,0.0,81.0,0.0,70.0,84.0,-16.0,70.0,69.0,-15.0,0.19
ofsetni papir 170 g,200 dot,102,39.0,21.0,81.0,0.0,60.0,13.0,-5.0,60.0,2.0,-5.0,0.38
ofsetni papir 170 g,200 dot,103,39.0,52.0,81.0,0.0,49.0,40.0,9.0,49.0,17.0,9.0,0.43
ofsetni papir 170 g,200 dot,104,39.0,81.0,81.0,0.0,40.0,97.0,24.0,40.0,15.0,24.0,0.89
ofsetni papir 170 g,200 dot,105,39.0,100.0,81.0,0.0,36.0,62.0,35.0,36.0,32.0,35.0,0.26
ofsetni papir 170 g,200 dot,106,64.0,0.0,81.0,0.0,59.0,81.0,-29.0,60.0,20.0,-28.0,0.68
ofsetni papir 170 g,200 dot,107,64.0,21.0,81.0,0.0,51.0,87.0,-19.0,52.0,16.0,-19.0,0.74
ofsetni papir 170 g,200 dot,108,64.0,52.0,81.0,0.0,39.0,81.0,-2.0,39.0,65.0,-2.0,0.65
ofsetni papir 170 g,200 dot,109,64.0,81.0,81.0,0.0,31.0,99.0,11.0,33.0,31.0,11.0,1.21
ofsetni papir 170 g,200 dot,110,64.0,100.0,81.0,0.0,28.0,77.0,19.0,29.0,61.0,19.0,0.69
ofsetni papir 170 g,200 dot,111,85.0,0.0,81.0,0.0,51.0,97.0,-42.0,51.0,45.0,-42.0,0.84
ofsetni papir 170 g,200 dot,112,85.0,21.0,81.0,0.0,45.0,40.0,-32.0,44.0,50.0,-32.0,1.08
ofsetni papir 170 g,200 dot,113,85.0,52.0,81.0,0.0,34.0,48.0,-14.0,34.0,97.0,-14.0,0.5
ofsetni papir 170 g,200 dot,114,85.0,81.0,81.0,0.0,25.0,51.0,1.0,25.0,34.0,1.0,0.14
ofsetni papir 170 g,200 dot,115,85.0,100.0,81.0,0.0,23.0,98.0,8.0,23.0,53.0,8.0,0.35
ofsetni papir 170 g,200 dot,116,100.0,0.0,81.0,0.0,46.0,75.0,-51.0,46.0,77.0,-52.0,0.33
ofsetni papir 170 g,200 dot,117,100.0,21.0,81.0,0.0,41.0,11.0,-40.0,40.0,90.0,-41.0,0.92
ofsetni papir 170 g,200 dot,118,100.0,52.0,81.0,0.0,31.0,53.0,-22.0,31.0,63.0,-22.0,0.37
ofsetni papir 170 g,200 dot,119,100.0,81.0,81.0,0.0,23.0,56.0,-5.0,24.0,8.0,-5.0,0.39
ofsetni papir 170 g,200 dot,120,100.0,100.0,81.0,0.0,20.0,82.0,0.0,21.0,22.0,0.0,0.61
ofsetni papir 170 g,200 dot,121,0.0,0.0,100.0,0.0,85.0,49.0,-2.0,85.0,14.0,-2.0,0.41
ofsetni papir 170 g,200 dot,122,0.0,21.0,100.0,0.0,77.0,45.0,7.0,77.0,4.0,8.0,0.43
ofsetni papir 170 g,200 dot,123,0.0,52.0,100.0,0.0,64.0,2.0,26.0,63.0,93.0,26.0,0.26
ofsetni papir 170 g,200 dot,124,0.0,81.0,100.0,0.0,53.0,9.0,45.0,53.0,68.0,44.0,0.79
ofsetni papir 170 g,200 dot,125,0.0,100.0,100.0,0.0,45.0,49.0,57.0,45.0,37.0,57.0,0.17
ofsetni papir 170 g,200 dot,126,16.0,0.0,100.0,0.0,78.0,80.0,-7.0,78.0,77.0,-7.0,0.44
ofsetni papir 170 g,200 dot,127,16.0,21.0,100.0,0.0,69.0,77.0,1.0,69.0,4.0,2.0,0.83
ofsetni papir 170 g,200 dot,128,16.0,52.0,100.0,0.0,58.0,45.0,17.0,58.0,16.0,18.0,0.41
ofsetni papir 170 g,200 dot,129,16.0,81.0,100.0,0.0,48.0,47.0,34.0,48.0,2.0,35.0,0.55
ofsetni papir 170 g,200 dot,130,16.0,100.0,100.0,0.0,41.0,96.0,47.0,41.0,37.0,48.0,0.65
ofsetni papir 170 g,200 dot,131,39.0,0.0,100.0,0.0,70.0,36.0,-16.0,69.0,77.0,-15.0,0.52
ofsetni papir 170 g,200 dot,132,39.0,21.0,100.0,0.0,59.0,91.0,-6.0,59.0,12.0,-6.0,0.71
ofsetni papir 170 g,200 dot,133,39.0,52.0,100.0,0.0,48.0,37.0,8.0,48.0,73.0,9.0,0.52
ofsetni papir 170 g,200 dot,134,39.0,81.0,100.0,0.0,40.0,87.0,22.0,40.0,41.0,24.0,0.78
ofsetni papir 170 g,200 dot,135,39.0,100.0,100.0,0.0,36.0,52.0,34.0,36.0,72.0,35.0,0.37
ofsetni papir 170 g,200 dot,136,64.0,0.0,100.0,0.0,58.0,74.0,-30.0,58.0,77.0,-29.0,0.38
ofsetni papir 170 g,200 dot,137,64.0,21.0,100.0,0.0,51.0,9.0,-19.0,52.0,10.0,-19.0,1.05
ofsetni papir 170 g,200 dot,138,64.0,52.0,100.0,0.0,39.0,19.0,-3.0,40.0,96.0,-2.0,1.64
ofsetni papir 170 g,200 dot,139,64.0,81.0,100.0,0.0,31.0,75.0,9.0,33.0,8.0,9.0,1.09
ofsetni papir 170 g,200 dot,140,64.0,100.0,100.0,0.0,28.0,94.0,17.0,28.0,74.0,18.0,0.45
ofsetni papir 170 g,200 dot,141,85.0,0.0,100.0,0.0,51.0,23.0,-43.0,50.0,90.0,-43.0,0.33
ofsetni papir 170 g,200 dot,142,85.0,21.0,100.0,0.0,43.0,84.0,-33.0,44.0,25.0,-33.0,0.4
ofsetni papir 170 g,200 dot,143,85.0,52.0,100.0,0.0,35.0,17.0,-14.0,34.0,94.0,-14.0,0.21
ofsetni papir 170 g,200 dot,144,85.0,81.0,100.0,0.0,30.0,10.0,-0.0,26.0,22.0,-0.0,2.97
ofsetni papir 170 g,200 dot,145,85.0,100.0,100.0,0.0,26.0,29.0,6.0,23.0,44.0,6.0,2.11
ofsetni papir 170 g,200 dot,146,100.0,0.0,100.0,0.0,46.0,82.0,-52.0,45.0,91.0,-51.0,1.01
ofsetni papir 170 g,200 dot,147,100.0,21.0,100.0,0.0,41.0,81.0,-42.0,41.0,3.0,-42.0,0.72
ofsetni papir 170 g,200 dot,148,100.0,52.0,100.0,0.0,32.0,33.0,-24.0,32.0,6.0,-23.0,0.3
ofsetni papir 170 g,200 dot,149,100.0,81.0,100.0,0.0,24.0,72.0,-6.0,24.0,33.0,-6.0,0.64
ofsetni papir 170 g,200 dot,150,100.0,100.0,100.0,0.0,20.0,36.0,-0.0,20.0,34.0,-0.0,0.28
ofsetni papir 170 g,200 dot,151,0.0,0.0,0.0,25.0,72.0,62.0,0.0,72.0,91.0,0.0,0.22
ofsetni papir 170 g,200 dot,152,0.0,31.0,0.0,25.0,63.0,11.0,10.0,62.0,97.0,11.0,0.68
ofsetni papir 170 g,200 dot,153,0.0,72.0,0.0,25.0,47.0,78.0,31.0,48.0,1.0,31.0,0.34
ofsetni papir 170 g,200 dot,154,0.0,100.0,0.0,25.0,38.0,5.0,49.0,38.0,26.0,48.0,0.42
ofsetni papir 170 g,200 dot,155,21.0,0.0,0.0,25.0,67.0,91.0,-5.0,67.0,53.0,-5.0,0.36
ofsetni papir 170 g,200 dot,156,21.0,31.0,0.0,25.0,58.0,1.0,5.0,58.0,46.0,5.0,0.43
ofsetni papir 170 g,200 dot,157,21.0,72.0,0.0,25.0,44.0,28.0,24.0,43.0,84.0,25.0,0.62
ofsetni papir 170 g,200 dot,158,21.0,100.0,0.0,25.0,35.0,3.0,40.0,34.0,82.0,40.0,0.35
ofsetni papir 170 g,200 dot,159,52.0,0.0,0.0,25.0,58.0,52.0,-13.0,57.0,69.0,-13.0,0.77
ofsetni papir 170 g,200 dot,160,52.0,31.0,0.0,25.0,51.0,44.0,-3.0,49.0,50.0,-3.0,1.99
ofsetni papir 170 g,200 dot,161,52.0,72.0,0.0,25.0,38.0,69.0,13.0,37.0,11.0,13.0,1.42
ofsetni papir 170 g,200 dot,162,52.0,100.0,0.0,25.0,30.0,67.0,27.0,30.0,67.0,28.0,0.76
ofsetni papir 170 g,200 dot,163,81.0,0.0,0.0,25.0,48.0,68.0,-24.0,48.0,0.0,-23.0,0.71
ofsetni papir 170 g,200 dot,164,81.0,31.0,0.0,25.0,42.0,22.0,-14.0,41.0,57.0,-14.0,0.62
ofsetni papir 170 g,200 dot,165,81.0,72.0,0.0,25.0,31.0,13.0,0.0,31.0,16.0,1.0,0.14
ofsetni papir 170 g,200 dot,166,81.0,100.0,0.0,25.0,25.0,55.0,11.0,25.0,53.0,12.0,0.17
ofsetni papir 170 g,200 dot,167,100.0,0.0,0.0,25.0,43.0,15.0,-31.0,43.0,22.0,-31.0,0.2
ofsetni papir 170 g,200 dot,168,100.0,31.0,0.0,25.0,37.0,26.0,-20.0,36.0,95.0,-20.0,0.43
ofsetni papir 170 g,200 dot,169,100.0,72.0,0.0,25.0,28.0,53.0,-5.0,27.0,70.0,-4.0,0.67
ofsetni papir 170 g,200 dot,170,100.0,100.0,0.0,25.0,23.0,99.0,4.0,24.0,22.0,4.0,0.25
ofsetni papir 170 g,200 dot,171,0.0,0.0,31.0,25.0,71.0,37.0,-1.0,71.0,39.0,-1.0,0.41
ofsetni papir 170 g,200 dot,172,0.0,31.0,31.0,25.0,62.0,39.0,9.0,62.0,33.0,9.0,0.6
ofsetni papir 170 g,200 dot,173,0.0,72.0,31.0,25.0,47.0,64.0,29.0,46.0,98.0,30.0,0.84
ofsetni papir 170 g,200 dot,174,0.0,100.0,31.0,25.0,38.0,14.0,46.0,37.0,44.0,46.0,0.68
ofsetni papir 170 g,200 dot,175,21.0,0.0,31.0,25.0,65.0,42.0,-6.0,65.0,49.0,-6.0,0.63
ofsetni papir 170 g,200 dot,176,21.0,31.0,31.0,25.0,54.0,25.0,4.0,53.0,92.0,4.0,0.68
ofsetni papir 170 g,200 dot,177,21.0,72.0,31.0,25.0,41.0,42.0,24.0,41.0,69.0,24.0,0.3
ofsetni papir 170 g,200 dot,178,21.0,100.0,31.0,25.0,34.0,80.0,38.0,34.0,70.0,38.0,0.19
ofsetni papir 170 g,200 dot,179,52.0,0.0,31.0,25.0,56.0,1.0,-15.0,56.0,26.0,-15.0,0.28
ofsetni papir 170 g,200 dot,180,52.0,31.0,31.0,25.0,44.0,73.0,-5.0,45.0,18.0,-4.0,0.48
ofsetni papir 170 g,200 dot,181,52.0,72.0,31.0,25.0,34.0,39.0,12.0,33.0,4.0,12.0,1.12
ofsetni papir 170 g,200 dot,182,52.0,100.0,31.0,25.0,27.0,86.0,24.0,27.0,45.0,24.0,0.34
ofsetni papir 170 g,200 dot,183,81.0,0.0,31.0,25.0,45.0,83.0,-27.0,45.0,45.0,-27.0,0.37
ofsetni papir 170 g,200 dot,184,81.0,31.0,31.0,25.0,37.0,9.0,-15.0,36.0,74.0,-16.0,0.46
ofsetni papir 170 g,200 dot,185,81.0,72.0,31.0,25.0,27.0,31.0,1.0,27.0,27.0,1.0,0.33
ofsetni papir 170 g,200 dot,186,81.0,100.0,31.0,25.0,23.0,50.0,8.0,22.0,96.0,9.0,0.79
ofsetni papir 170 g,200 dot,187,100.0,0.0,31.0,25.0,40.0,17.0,-35.0,39.0,87.0,-35.0,0.34
ofsetni papir 170 g,200 dot,188,100.0,31.0,31.0,25.0,33.0,83.0,-23.0,33.0,88.0,-22.0,0.28
ofsetni papir 170 g,200 dot,189,100.0,72.0,31.0,25.0,23.0,93.0,-5.0,24.0,51.0,-5.0,0.44
ofsetni papir 170 g,200 dot,190,100.0,100.0,31.0,25.0,21.0,25.0,1.0,21.0,34.0,2.0,0.9
ofsetni papir 170 g,200 dot,191,0.0,0.0,72.0,25.0,68.0,51.0,-2.0,68.0,20.0,-1.0,0.52
ofsetni papir 170 g,200 dot,192,0.0,31.0,72.0,25.0,58.0,93.0,8.0,58.0,65.0,9.0,0.36
ofsetni papir 170 g,200 dot,193,0.0,72.0,72.0,25.0,45.0,96.0,28.0,45.0,58.0,29.0,0.52
ofsetni papir 170 g,200 dot,194,0.0,100.0,72.0,25.0,37.0,5.0,43.0,36.0,82.0,45.0,0.63
ofsetni papir 170 g,200 dot,195,21.0,0.0,72.0,25.0,61.0,38.0,-7.0,61.0,89.0,-7.0,0.5
ofsetni papir 170 g,200 dot,196,21.0,31.0,72.0,25.0,52.0,34.0,3.0,51.0,44.0,3.0,1.06
ofsetni papir 170 g,200 dot,197,21.0,72.0,72.0,25.0,42.0,60.0,21.0,40.0,25.0,22.0,2.2
ofsetni papir 170 g,200 dot,198,21.0,100.0,72.0,25.0,34.0,36.0,34.0,33.0,55.0,35.0,0.74
ofsetni papir 170 g,200 dot,199,52.0,0.0,72.0,25.0,53.0,65.0,-18.0,53.0,15.0,-17.0,0.51
ofsetni papir 170 g,200 dot,200,52.0,31.0,72.0,25.0,43.0,49.0,-6.0,42.0,73.0,-6.0,0.71
ofsetni papir 170 g,200 dot,201,52.0,72.0,72.0,25.0,32.0,55.0,10.0,31.0,70.0,11.0,0.94
ofsetni papir 170 g,200 dot,202,52.0,100.0,72.0,25.0,26.0,75.0,20.0,26.0,5.0,21.0,0.78
ofsetni papir 170 g,200 dot,203,81.0,0.0,72.0,25.0,43.0,76.0,-31.0,43.0,68.0,-31.0,0.22
ofsetni papir 170 g,200 dot,204,81.0,31.0,72.0,25.0,35.0,69.0,-18.0,35.0,44.0,-18.0,0.82
ofsetni papir 170 g,200 dot,205,81.0,72.0,72.0,25.0,23.0,74.0,-0.0,24.0,29.0,-0.0,0.44
ofsetni papir 170 g,200 dot,206,81.0,100.0,72.0,25.0,20.0,59.0,7.0,21.0,29.0,7.0,0.5
ofsetni papir 170 g,200 dot,207,100.0,0.0,72.0,25.0,39.0,41.0,-40.0,39.0,75.0,-40.0,0.3
ofsetni papir 170 g,200 dot,208,100.0,31.0,72.0,25.0,32.0,24.0,-27.0,32.0,85.0,-27.0,0.49
ofsetni papir 170 g,200 dot,209,100.0,72.0,72.0,25.0,22.0,79.0,-7.0,23.0,11.0,-7.0,0.29
ofsetni papir 170 g,200 dot,210,100.0,100.0,72.0,25.0,18.0,42.0,0.0,19.0,14.0,0.0,0.5
ofsetni papir 170 g,200 dot,211,0.0,0.0,100.0,25.0,68.0,44.0,-2.0,67.0,33.0,-2.0,0.93
ofsetni papir 170 g,200 dot,212,0.0,31.0,100.0,25.0,60.0,31.0,8.0,58.0,77.0,8.0,1.43
ofsetni papir 170 g,200 dot,213,0.0,72.0,100.0,25.0,46.0,12.0,28.0,45.0,24.0,29.0,1.64
ofsetni papir 170 g,200 dot,214,0.0,100.0,100.0,25.0,37.0,78.0,43.0,36.0,70.0,44.0,1.05
ofsetni papir 170 g,200 dot,215,21.0,0.0,100.0,25.0,62.0,38.0,-7.0,61.0,57.0,-7.0,0.7
ofsetni papir 170 g,200 dot,216,21.0,31.0,100.0,25.0,53.0,9.0,2.0,51.0,43.0,2.0,1.7
ofsetni papir 170 g,200 dot,217,21.0,72.0,100.0,25.0,40.0,58.0,21.0,39.0,30.0,23.0,1.78
ofsetni papir 170 g,200 dot,218,21.0,100.0,100.0,25.0,33.0,28.0,34.0,32.0,48.0,35.0,0.8
ofsetni papir 170 g,200 dot,219,52.0,0.0,100.0,25.0,51.0,99.0,-19.0,52.0,12.0,-18.0,0.59
ofsetni papir 170 g,200 dot,220,52.0,31.0,100.0,25.0,42.0,4.0,-7.0,42.0,19.0,-7.0,0.48
ofsetni papir 170 g,200 dot,221,52.0,72.0,100.0,25.0,31.0,8.0,9.0,31.0,41.0,9.0,0.36
ofsetni papir 170 g,200 dot,222,52.0,100.0,100.0,25.0,26.0,79.0,19.0,27.0,12.0,20.0,0.5
ofsetni papir 170 g,200 dot,223,81.0,0.0,100.0,25.0,42.0,49.0,-33.0,42.0,59.0,-33.0,0.24
ofsetni papir 170 g,200 dot,224,81.0,31.0,100.0,25.0,35.0,41.0,-20.0,35.0,25.0,-20.0,0.56
ofsetni papir 170 g,200 dot,225,81.0,72.0,100.0,25.0,27.0,68.0,-2.0,24.0,84.0,-2.0,2.13
ofsetni papir 170 g,200 dot,226,81.0,100.0,100.0,25.0,22.0,39.0,6.0,20.0,48.0,6.0,1.37
ofsetni papir 170 g,200 dot,227,100.0,0.0,100.0,25.0,38.0,56.0,-43.0,38.0,7.0,-43.0,0.55
ofsetni papir 170 g,200 dot,228,100.0,31.0,100.0,25.0,31.0,76.0,-28.0,31.0,33.0,-28.0,0.35
ofsetni papir 170 g,200 dot,229,100.0,72.0,100.0,25.0,24.0,17.0,-8.0,23.0,30.0,-8.0,0.64
ofsetni papir 170 g,200 dot,230,100.0,100.0,100.0,25.0,19.0,31.0,-0.0,17.0,81.0,-0.0,1.11
ofsetni papir 170 g,200 dot,231,0.0,0.0,0.0,60.0,42.0,36.0,-0.0,41.0,68.0,-0.0,0.61
ofsetni papir 170 g,200 dot,232,0.0,31.0,0.0,60.0,40.0,9.0,6.0,39.0,40.0,6.0,1.15
ofsetni papir 170 g,200 dot,233,0.0,72.0,0.0,60.0,29.0,99.0,20.0,30.0,14.0,20.0,0.27
ofsetni papir 170 g,200 dot,234,0.0,100.0,0.0,60.0,26.0,7.0,28.0,25.0,53.0,28.0,0.51
ofsetni papir 170 g,200 dot,235,31.0,0.0,0.0,60.0,40.0,99.0,-5.0,41.0,2.0,-5.0,0.16
ofsetni papir 170 g,200 dot,236,31.0,31.0,0.0,60.0,34.0,61.0,1.0,34.0,47.0,1.0,0.63
ofsetni papir 170 g,200 dot,237,31.0,72.0,0.0,60.0,26.0,34.0,12.0,26.0,18.0,13.0,0.58
ofsetni papir 170 g,200 dot,238,31.0,100.0,0.0,60.0,22.0,16.0,21.0,21.0,88.0,21.0,0.35
ofsetni papir 170 g,200 dot,239,72.0,0.0,0.0,60.0,32.0,65.0,-14.0,31.0,79.0,-14.0,0.69
ofsetni papir 170 g,200 dot,240,72.0,31.0,0.0,60.0,28.0,5.0,-7.0,27.0,82.0,-7.0,0.22
ofsetni papir 170 g,200 dot,241,72.0,72.0,0.0,60.0,21.0,74.0,3.0,21.0,58.0,3.0,0.42
ofsetni papir 170 g,200 dot,242,72.0,100.0,0.0,60.0,18.0,80.0,9.0,18.0,78.0,9.0,0.47
ofsetni papir 170 g,200 dot,243,100.0,0.0,0.0,60.0,28.0,51.0,-18.0,27.0,74.0,-18.0,0.62
ofsetni papir 170 g,200 dot,244,100.0,31.0,0.0,60.0,24.0,15.0,-11.0,23.0,80.0,-11.0,0.37
ofsetni papir 170 g,200 dot,245,100.0,72.0,0.0,60.0,20.0,28.0,-1.0,19.0,65.0,-1.0,0.63
ofsetni papir 170 g,200 dot,246,100.0,100.0,0.0,60.0,17.0,87.0,2.0,17.0,65.0,2.0,0.52
ofsetni papir 170 g,200 dot,247,0.0,0.0,31.0,60.0,45.0,18.0,-1.0,44.0,92.0,-1.0,0.71
ofsetni papir 170 g,200 dot,248,0.0,31.0,31.0,60.0,37.0,96.0,5.0,37.0,99.0,6.0,0.55
ofsetni papir 170 g,200 dot,249,0.0,72.0,31.0,60.0,29.0,99.0,19.0,30.0,35.0,19.0,0.49
ofsetni papir 170 g,200 dot,250,0.0,100.0,31.0,60.0,25.0,8.0,26.0,25.0,77.0,27.0,0.72
ofsetni papir 170 g,200 dot,251,31.0,0.0,31.0,60.0,38.0,5.0,-6.0,38.0,42.0,-6.0,0.39
ofsetni papir 170 g,200 dot,252,31.0,31.0,31.0,60.0,32.0,0.0,0.0,31.0,86.0,0.0,0.42
ofsetni papir 170 g,200 dot,253,31.0,72.0,31.0,60.0,26.0,8.0,12.0,25.0,79.0,12.0,0.34
ofsetni papir 170 g,200 dot,254,31.0,100.0,31.0,60.0,21.0,62.0,19.0,21.0,91.0,19.0,0.41
ofsetni papir 170 g,200 dot,255,72.0,0.0,31.0,60.0,31.0,12.0,-15.0,31.0,39.0,-15.0,0.34
ofsetni papir 170 g,200 dot,256,72.0,31.0,31.0,60.0,25.0,41.0,-7.0,26.0,8.0,-7.0,0.51
ofsetni papir 170 g,200 dot,257,72.0,72.0,31.0,60.0,20.0,92.0,2.0,20.0,5.0,2.0,0.7
ofsetni papir 170 g,200 dot,258,72.0,100.0,31.0,60.0,17.0,99.0,7.0,17.0,90.0,7.0,0.59
ofsetni papir 170 g,200 dot,259,100.0,0.0,31.0,60.0,27.0,34.0,-20.0,27.0,1.0,-21.0,0.54
ofsetni papir 170 g,200 dot,260,100.0,31.0,31.0,60.0,23.0,1.0,-12.0,22.0,91.0,-13.0,0.25
ofsetni papir 170 g,200 dot,261,100.0,72.0,31.0,60.0,18.0,39.0,-2.0,18.0,25.0,-2.0,0.44
ofsetni papir 170 g,200 dot,262,100.0,100.0,31.0,60.0,15.0,94.0,1.0,16.0,29.0,1.0,0.34
ofsetni papir 170 g,200 dot,263,0.0,0.0,72.0,60.0,43.0,53.0,-2.0,43.0,67.0,-2.0,0.35
ofsetni papir 170 g,200 dot,264,0.0,31.0,72.0,60.0,37.0,90.0,4.0,38.0,44.0,4.0,0.68
ofsetni papir 170 g,200 dot,265,0.0,72.0,72.0,60.0,29.0,38.0,16.0,29.0,44.0,17.0,0.31
ofsetni papir 170 g,200 dot,266,0.0,100.0,72.0,60.0,24.0,20.0,24.0,24.0,1.0,24.0,0.23
ofsetni papir 170 g,200 dot,267,31.0,0.0,72.0,60.0,37.0,55.0,-7.0,37.0,43.0,-7.0,0.35
ofsetni papir 170 g,200 dot,268,31.0,31.0,72.0,60.0,31.0,18.0,-0.0,31.0,64.0,-1.0,0.38
ofsetni papir 170 g,200 dot,269,31.0,72.0,72.0,60.0,25.0,65.0,10.0,25.0,78.0,11.0,0.36
ofsetni papir 170 g,200 dot,270,31.0,100.0,72.0,60.0,21.0,46.0,16.0,21.0,80.0,17.0,0.38
ofsetni papir 170 g,200 dot,271,72.0,0.0,72.0,60.0,28.0,97.0,-17.0,28.0,96.0,-17.0,0.23
ofsetni papir 170 g,200 dot,272,72.0,31.0,72.0,60.0,25.0,72.0,-9.0,24.0,88.0,-9.0,0.93
ofsetni papir 170 g,200 dot,273,72.0,72.0,72.0,60.0,19.0,55.0,0.0,19.0,76.0,1.0,0.35
ofsetni papir 170 g,200 dot,274,72.0,100.0,72.0,60.0,17.0,17.0,5.0,16.0,79.0,6.0,0.57
ofsetni papir 170 g,200 dot,275,100.0,0.0,72.0,60.0,25.0,66.0,-23.0,25.0,75.0,-23.0,0.5
ofsetni papir 170 g,200 dot,276,100.0,31.0,72.0,60.0,21.0,98.0,-14.0,22.0,25.0,-14.0,0.45
ofsetni papir 170 g,200 dot,277,100.0,72.0,72.0,60.0,17.0,21.0,-3.0,17.0,31.0,-3.0,0.2
ofsetni papir 170 g,200 dot,278,100.0,100.0,72.0,60.0,14.0,29.0,0.0,13.0,46.0,0.0,0.73
ofsetni papir 170 g,200 dot,279,0.0,0.0,100.0,60.0,42.0,64.0,-3.0,42.0,40.0,-3.0,0.26
ofsetni papir 170 g,200 dot,280,0.0,31.0,100.0,60.0,36.0,29.0,3.0,35.0,98.0,3.0,0.42
ofsetni papir 170 g,200 dot,281,0.0,72.0,100.0,60.0,29.0,9.0,15.0,28.0,74.0,15.0,0.41
